Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg,Player-additional
260,Paul McPherson,PG,22,PHO,33,0,308,7.9,16.1,.490,0.0,1.0,.000,7.9,15.1,.522,3.0,4.0,.750,3.3,4.7,8.0,2.7,2.0,0.5,3.8,8.0,18.7,,96,100,mcphepa01
260,Paul McPherson,PG,22,GSW,22,0,287,11.0,21.3,.517,0.4,1.1,.333,10.7,20.3,.526,4.3,6.0,.706,3.6,2.0,5.5,3.9,2.3,0.2,4.3,5.7,26.7,,104,110,mcphepa01
261,Stanislav Medvedenko,PF,21,LAL,7,0,39,16.1,33.5,.480,1.3,1.3,1.000,14.8,32.2,.458,9.4,16.1,.583,1.3,10.7,12.1,2.7,1.3,1.3,4.0,12.1,42.9,,102,102,medvest01
262,Ron Mercer,SG,24,CHI,61,61,2535,10.6,23.8,.446,0.3,1.0,.304,10.3,22.8,.452,4.0,4.8,.825,1.5,3.5,5.0,4.3,1.7,0.6,2.7,3.1,25.5,,99,110,mercero01
263,Chris Mihm,C,21,CLE,59,43,1166,7.8,17.6,.442,0.0,0.0,.000,7.8,17.6,.444,4.5,5.7,.794,4.8,7.9,12.6,0.7,0.9,2.4,3.6,7.0,20.1,,97,105,mihmch01
264,Darius Miles,SF,19,LAC,81,21,2133,8.0,15.8,.505,0.0,0.5,.053,8.0,15.3,.519,3.1,6.0,.521,3.2,8.8,12.0,2.5,1.3,3.1,3.7,4.8,19.1,,97,102,milesda01
265,Andre Miller,PG,24,CLE,82,82,2848,8.4,18.5,.452,0.3,1.2,.266,8.0,17.3,.465,6.9,8.3,.833,1.7,4.9,6.7,12.1,2.2,0.5,4.9,4.2,23.9,,109,106,millean02
266,Anthony Miller,PF,29,TOT,4,0,11,4.8,9.6,.500,0.0,0.0,,4.8,9.6,.500,0.0,0.0,,0.0,9.6,9.6,0.0,0.0,0.0,4.8,4.8,9.6,,62,106,millean01
266,Anthony Miller,PF,29,ATL,2,0,6,8.7,17.4,.500,0.0,0.0,,8.7,17.4,.500,0.0,0.0,,0.0,17.4,17.4,0.0,0.0,0.0,8.7,0.0,17.4,,62,101,millean01
266,Anthony Miller,PF,29,HOU,1,0,3,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.7,0.0,,,112,millean01
