Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg,Player-additional
140,Pat Garrity,PF,30,ORL,33,0,277,4.2,13.5,.314,2.1,6.2,.344,2.1,7.3,.289,3.1,3.5,.889,2.3,5.8,8.1,2.7,1.3,0.0,2.7,7.1,13.7,,95,106,garripa01
141,Pau Gasol*,C,26,MEM,59,59,2133,11.1,20.6,.538,0.1,0.3,.273,11.0,20.4,.542,7.2,9.6,.748,3.6,10.4,14.0,4.8,0.7,3.0,3.9,3.3,29.5,,115,109,gasolpa01
142,Rudy Gay,SF,20,MEM,78,43,2103,7.8,18.5,.422,1.3,3.5,.364,6.6,15.0,.436,3.7,5.1,.727,2.3,6.2,8.5,2.4,1.7,1.8,3.4,4.7,20.6,,96,111,gayru01
143,Mickaël Gelabale,SF,23,SEA,70,14,1239,5.1,11.1,.462,0.5,2.0,.234,4.7,9.2,.512,2.8,3.5,.805,2.5,4.8,7.3,2.4,1.0,0.9,2.1,4.6,13.5,,108,113,gelabmi01
144,Devean George,SF,29,DAL,60,17,1283,6.1,15.5,.395,2.2,6.3,.353,3.9,9.2,.423,1.5,2.0,.750,2.4,6.5,8.9,1.4,1.9,1.0,2.1,6.0,15.9,,99,103,georgde01
145,Daniel Gibson,PG,20,CLE,60,16,988,5.2,12.4,.424,2.8,6.6,.419,2.5,5.7,.430,1.5,2.1,.718,1.5,3.4,4.9,3.7,1.2,0.4,2.4,5.0,14.8,,108,105,gibsoda01
146,Manu Ginóbili*,SG,29,SAS,75,36,2060,10.3,22.2,.464,3.3,8.4,.396,7.0,13.8,.505,8.3,9.7,.860,1.5,7.0,8.5,6.8,2.8,0.7,4.1,4.0,32.2,,117,98,ginobma01
147,Gordan Giriček,SG,29,UTA,61,6,1188,7.8,16.8,.462,2.3,5.4,.426,5.5,11.4,.479,3.1,3.8,.816,1.1,4.6,5.7,2.8,1.2,0.2,2.8,5.4,21.0,,107,110,giricgo01
148,Andreas Glyniadakis,C,25,SEA,13,4,81,5.2,11.0,.471,0.0,0.0,,5.2,11.0,.471,0.6,1.3,.500,1.3,3.9,5.2,0.6,0.0,0.0,5.8,12.3,11.0,,66,116,glynian01
149,Ryan Gomes,PF,24,BOS,73,60,2275,7.7,16.6,.467,0.4,1.0,.381,7.4,15.6,.473,4.3,5.3,.811,2.9,6.5,9.3,2.7,1.1,0.3,2.4,3.9,20.2,,108,109,gomesry01
150,Drew Gooden,PF,25,CLE,80,80,2238,8.8,18.5,.473,0.0,0.1,.167,8.7,18.4,.476,3.4,4.7,.714,6.2,9.9,16.1,2.1,1.7,0.7,2.7,5.0,20.9,,107,100,goodedr01
151,Ben Gordon,SG,23,CHI,82,51,2704,11.5,25.4,.455,2.9,7.1,.413,8.6,18.3,.471,7.2,8.3,.864,0.7,4.2,4.9,5.6,1.2,0.3,4.7,4.8,33.2,,108,103,gordobe01
152,Joey Graham,SF,24,TOR,79,21,1319,7.5,15.3,.495,0.4,1.2,.290,7.2,14.0,.513,4.3,5.1,.840,2.2,7.6,9.7,1.7,1.2,0.2,1.9,6.3,19.8,,110,107,grahajo01
